objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Jungle Speed Safari,144468,5,3,0,0,0,0,0,0,0,0,0,3,,,,,,21533145,5.6309,6.23287,1.0625,5703,637,thing,Jungle Speed Safari,2,6,15,15,15,2013,"2,3,4,5,6",4,5–12,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Junk Art,193042,8.5,8,0,1,0,0,0,0,0,0,0,3,,,,,,39365495,6.96677,7.48182,1.26,391,6163,thing,Junk Art,2,6,30,30,30,2016,"2,3,4,5,6","4,5,6",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Just One,254640,7.5,19,0,1,0,0,0,0,0,0,0,2,,,,,,57786996,7.02104,7.57022,1.0847,339,6216,thing,Just One,3,7,20,20,20,2018,"4,5,6,7","6,7",8+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
K2,73761,0,,0,0,0,0,0,0,0,0,0,4,,,,,,21378525,6.85144,7.09762,2.2631,506,8601,thing,K2,1,5,60,60,30,2010,"1,2,3,4,5","3,4",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kanban: Driver's Edition,109276,7,1,0,0,0,0,0,0,1,0,0,3,Heavy economic game.   submitted as wishlist item to family.,,,,,26492246,7.31163,7.84829,4.3217,164,6806,thing,Kanban: Driver's Edition,2,4,120,120,90,2014,"2,3,4","3,4",14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kemet,127023,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,27536555,7.51036,7.73569,2.9966,84,16382,thing,Kemet,2,5,120,120,90,2012,"3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ker Plunk,3728,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,43254833,5.14894,4.78483,1.0312,17805,1789,thing,Ker Plunk,2,4,20,20,20,1967,"2,3,4",2,4+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Key Harvest,29839,7.75,5,0,0,0,0,0,0,0,0,0,3,,Timing is key.  When and what to take must be struggled with every turn.  Enjoy how you get to price your tiles in your store to attract or deter opponents from purchasing.,,,,10423747,6.21594,6.78664,3.0372,1540,2906,thing,Key Harvest,2,4,90,90,90,2007,"2,3,4",3,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Key Market,78733,0,,0,0,0,0,0,0,0,0,0,4,,,,,,11146126,6.15639,7.44665,3.5185,1716,761,thing,Key Market,2,4,90,90,90,2010,"2,3,4","2,3,4",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Keyflower,122515,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,32246420,7.66108,7.8409,3.3407,50,19859,thing,Keyflower,2,6,120,120,90,2012,"2,3,4,5,6",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
KeyForge: Call of the Archons,257501,8,14,0,0,0,0,0,0,0,0,0,3,,,,,,58391821,7.11896,7.53684,2.4487,270,11072,thing,KeyForge: Call of the Archons,2,2,45,45,15,2018,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Khronos,25674,7,4,0,0,0,0,0,0,0,0,0,3,,,,,,9682994,5.98956,6.37687,3.5628,2312,2433,thing,Khronos,2,5,90,90,90,2006,"2,3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kill Doctor Lucky,257,5,2,0,0,0,0,0,0,0,0,0,3,,,,,,12000968,5.99169,6.1558,1.6472,2305,9859,thing,Kill Doctor Lucky,3,8,45,45,45,1996,"3,4,5,6",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
King of New York,160499,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,25875608,6.83162,7.00993,1.8649,527,19334,thing,King of New York,2,6,40,40,40,2014,"3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
King of Tokyo,70323,7,40,0,1,0,0,0,0,0,0,0,3,,,,,,15321722,7.12735,7.21839,1.4998,264,72328,thing,King of Tokyo,2,6,30,30,30,2011,"3,4,5,6","4,5",6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
King of Tokyo/New York: Monster Pack – Anubis,250532,0,,0,0,0,0,0,0,0,0,1,3,,,,,,64621436,5.76942,7.6782,1.6667,0,1595,thing,King of Tokyo/New York: Monster Pack – Anubis,2,6,30,30,30,2018,"3,4,5,6",4,6,,,,,,,expansion,,,,,,,,,,,,,,,
King of Tokyo/New York: Monster Pack – Cthulhu,207292,0,,0,0,0,0,0,0,0,0,1,3,,,,,,64621440,6.21107,7.59494,2,0,3977,thing,King of Tokyo/New York: Monster Pack – Cthulhu,2,6,30,0,30,2017,"3,4,5,6",6,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
King of Tokyo/New York: Monster Pack – Cybertooth,282788,0,,0,0,0,0,0,0,0,0,1,3,,,,,,64621444,0,8.5625,0,0,137,thing,King of Tokyo/New York: Monster Pack – Cybertooth,2,6,30,30,30,2019,,,,,,,,,,expansion,,,,,,,,,,,,,,,
King of Tokyo/New York: Monster Pack – King Kong,233076,0,,0,0,0,0,0,0,0,0,1,3,,,,,,64621411,5.89318,7.54137,1.8,0,2310,thing,King of Tokyo/New York: Monster Pack – King Kong,2,6,30,0,30,2017,"2,3,4,5,6","4,5",6+,Unplayable in another language,,,,,,expansion,,,,,,,,,,,,,,,
King of Tokyo: Halloween,147183,0,,0,1,0,0,0,0,0,0,0,3,,,,,,20333941,6.7864,7.23671,1.7029,0,13322,thing,King of Tokyo: Halloween,2,6,30,30,30,2013,"3,4,5,6","4,5",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
King of Tokyo: Power Up!,127067,0,,0,1,0,0,0,0,0,0,0,1,,,,,,18909267,7.35656,7.64623,1.6855,0,25565,thing,King of Tokyo: Power Up!,2,6,30,30,30,2012,"3,4,5,6","4,5,6",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Kingdom Builder,107529,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,16552179,6.84895,6.97765,2.0671,509,21652,thing,Kingdom Builder,2,4,45,45,45,2011,"2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Kingdom of Solomon,87821,7,1,0,0,0,0,0,0,0,0,0,4,,,,,,19149502,5.93928,6.94423,2.7627,2531,892,thing,Kingdom of Solomon,2,4,60,60,60,2012,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Kingdomino,204583,6,3,0,0,0,0,0,0,0,0,0,4,SDJ nominee.  15 min play time.  Tile laying.  Decent GeekBuddy reviews.,,,,,42764314,7.22762,7.36916,1.2143,207,37578,thing,Kingdomino,2,4,20,20,15,2016,"2,3,4","2,4",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kings of Air and Steam,111732,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,18584372,6.19425,6.92418,2.8421,1602,1656,thing,Kings of Air and Steam,2,7,90,90,90,2013,"2,3,4,5,6,7",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Kingsburg,27162,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,8073771,7.06831,7.20892,2.4291,298,16370,thing,Kingsburg,2,5,90,90,90,2007,"2,3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
KLASK,165722,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,33885585,6.9976,7.59694,1.0455,359,4657,thing,KLASK,2,2,10,10,10,2014,2,2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kung Fu Zoo,183420,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,53887951,5.69097,6.7722,1,4549,424,thing,Kung Fu Zoo,2,4,10,10,5,2016,"2,3,4",2,4+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Lancaster,96913,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,16552140,7.09487,7.4409,2.988,286,7126,thing,Lancaster,2,5,60,60,60,2011,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Last Night on Earth: The Zombie Game,29368,6.5,2,0,0,0,0,0,0,0,0,0,4,,,,,,9640189,6.74709,6.96245,2.2926,631,17402,thing,Last Night on Earth: The Zombie Game,2,6,90,90,60,2007,"2,3,4,5,6",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Last Will,97842,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,19821097,6.9712,7.20773,2.6981,386,9574,thing,Last Will,2,5,75,75,45,2011,"2,3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Leaving Earth,173064,0,,0,0,0,0,0,0,0,0,0,3,Must be ordered through publisher website (http://lumenaris.com/leavingearth.html).  Production and delivery time may vary.,,,,,50118030,6.81549,7.83149,3.6406,543,3859,thing,Leaving Earth,1,5,180,180,60,2015,"1,2,3,4",1,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Lewis & Clark,140620,8,2,0,0,0,0,0,0,0,0,0,4,,,,,,23220895,7.29269,7.51281,3.3431,169,13492,thing,Lewis & Clark,1,5,120,120,120,2013,"1,2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Libertalia,125618,8,3,0,0,0,0,0,0,0,0,0,3,,Plays well with more people and more people doesn't slow down the speed of the game at all.  Enjoyable simulaneous role selection game.,,,,16552176,7.00304,7.19318,2.2293,355,13090,thing,Libertalia,2,6,45,45,45,2012,"3,4,5,6",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Lignum,174155,7,1,0,0,0,0,0,0,1,0,0,2,"Nominated for Portugal Game of the Year.  

English reprint coming by Spring 2017.",,,,,35445053,5.99669,7.32945,3.7419,2279,728,thing,Lignum,2,4,120,120,60,2017,"2,3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Capstone Games,English,2017,English-only edition
Lisboa,161533,0,,0,0,0,0,0,0,0,0,0,4,Heavier game.  Research more to determine if I think this has long term viability.,,,,,44811459,7.56716,8.18515,4.5362,69,7745,thing,Lisboa,1,4,120,120,60,2017,"1,2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
London,65781,7.5,3,0,1,0,0,0,0,0,0,0,4,,,,,,11155454,7.04537,7.37361,2.8829,315,5605,thing,London,2,4,90,90,90,2010,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Loopin' Louie,327,7,1,0,0,0,0,0,0,0,0,0,4,,,,,,16958712,6.60859,6.81681,1.0522,799,9591,thing,Loopin' Louie,2,4,10,10,10,1992,"2,4",4,4+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Looting London,37615,0,,0,0,0,0,0,0,1,0,0,1,,,,,,8524810,5.60287,5.85873,1.4107,6491,1157,thing,Looting London,2,5,30,30,30,2008,"2,3,4,5",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Lord of the Fries,1536,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,8359308,5.72462,5.95662,1.2905,4106,3286,thing,Lord of the Fries,3,8,45,45,45,1998,"3,4,5,6","4,5,6",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Lords of Waterdeep,110327,7.5,4,0,0,0,0,0,0,0,0,0,3,,Surprisingly simple worker placement game. Plays fast. ,,,,16954087,7.63964,7.76351,2.4787,54,49196,thing,Lords of Waterdeep,2,5,120,120,60,2012,"2,3,4,5","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Lords of Xidit,156566,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,25527027,6.78702,7.17032,2.6235,587,7587,thing,Lords of Xidit,3,5,90,90,90,2014,"4,5","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Lorenzo il Magnifico,203993,7.5,2,0,1,0,0,0,0,0,0,0,2,Designers of Marco Polo and Tzolkin.  Well received by geek buddies.,,,,,42641146,7.45071,7.87994,3.3065,100,7887,thing,Lorenzo il Magnifico,2,4,120,120,60,2016,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Lost Cities,50,5,,0,0,0,0,0,0,0,0,0,3,,,,,,8073809,7.06488,7.16002,1.5065,303,44787,thing,Lost Cities,2,2,30,30,30,1999,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Lost Cities: The Board Game,42487,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,14679110,6.43044,6.80195,1.7377,1078,4972,thing,Lost Cities: The Board Game,2,4,60,60,30,2008,"2,3,4","3,4",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Lost Legacy,142039,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,24768269,5.9305,6.47951,1.3333,0,1599,thing,Lost Legacy,2,6,30,30,20,2013,"3,4,5,6",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Lost Legacy: Flying Garden,158340,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,25875612,6.14265,6.7298,1.3279,1751,3460,thing,Lost Legacy: Flying Garden,2,4,10,10,10,2014,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Lost Temple,102835,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,18296577,5.64917,5.89263,1.7333,5301,1609,thing,Lost Temple,2,8,40,40,40,2011,"3,4,5,6,7","5,6",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Love Letter,129622,7,21,0,1,0,0,0,0,0,0,0,4,,,,,,18653005,7.15825,7.24505,1.1941,247,81646,thing,Love Letter,2,4,20,20,20,2012,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Lowlands,242804,0,,0,0,0,0,0,0,0,0,1,4,Highly rated by geek buddies.  Investigate more.,,,,,58351254,6.49873,7.46767,3,949,2176,thing,Lowlands,2,4,100,100,50,2018,"2,3,4",3,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Luna,70512,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,32246426,6.89321,7.34444,3.3427,459,4970,thing,Luna,1,4,100,100,60,2010,"1,2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Macao,55670,7,2,0,1,0,0,0,0,0,0,0,3,,,,,,17468370,7.1079,7.42874,3.1367,274,6370,thing,Macao,2,4,100,100,50,2009,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Machi Koro,143884,6,10,0,0,0,0,0,0,0,0,0,3,,,,,,25527029,6.54478,6.64764,1.5445,883,34592,thing,Machi Koro,2,4,30,30,30,2012,"2,3,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Machi Koro: Deluxe Edition,175239,0,,0,0,0,0,0,0,0,0,0,4,,,,,,34021417,6.40578,7.08965,1.7463,0,4463,thing,Machi Koro: Deluxe Edition,2,5,30,30,30,2015,"2,3,4,5",4,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Machi Koro: Harbor,143789,7.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,26805229,6.74595,7.09367,1.6667,0,13196,thing,Machi Koro: Harbor,2,5,30,30,30,2012,"2,3,4,5",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Madeira,95527,0,,0,0,0,0,0,0,0,0,0,4,research more. very heavy game.,,,,,26770399,7.04035,7.64065,4.2685,318,4854,thing,Madeira,2,4,150,150,60,2013,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Mage Knight Board Game,96848,8,3,0,1,0,0,0,0,0,0,0,4,,Highly enjoyable fantasy RPG.  I enjoy how deckbuilding is incorporated into a main mechanic of the game.  Rules are a beast.  Players need to understand what they are getting into when they sit down to play because it will be a long session with a lot of explanation and rules referencing.  ,,,,17279673,7.89097,8.10133,4.2784,23,35503,thing,Mage Knight Board Game,1,4,240,240,60,2011,"1,2,3","1,2",14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Mage Knight Board Game: The Lost Legion Expansion,130704,0,,0,0,0,0,0,0,0,0,0,4,,,,,,17999238,7.80833,8.80461,4.1814,0,11298,thing,Mage Knight Board Game: The Lost Legion Expansion,1,5,240,240,240,2012,"1,2,3","1,2",14+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Mage Wars Arena,101721,0,,0,0,0,0,0,0,0,0,0,4,,,,,,18626445,7.24913,7.67964,3.6589,197,12132,thing,Mage Wars Arena,2,2,90,90,90,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Magic Maze,209778,7,11,0,0,0,0,0,0,0,0,0,3,,,,,,48694722,6.96293,7.15274,1.7194,395,17970,thing,Magic Maze,1,8,15,15,15,2017,"2,3,4,5,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Magic: The Gathering,463,10,115,0,1,0,0,0,0,0,0,0,3,,I play casually with friends (no tournaments) in a legacy format with proxy cards.,,,,12120707,7.33012,7.48707,3.183,154,31718,thing,Magic: The Gathering,2,2,20,20,20,1993,2,2,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Maharaja: The Game of Palace Building in India,9440,7,3,0,1,0,0,0,0,0,0,0,4,,,,,,8379449,6.76967,7.13978,3.1764,605,5339,thing,Maharaja: The Game of Palace Building in India,2,5,90,90,90,2004,"3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Manhattan Project,63628,8,7,0,0,0,0,0,0,0,0,0,3,,,,,,42411844,7.1417,7.40839,2.9646,257,11063,thing,The Manhattan Project,2,5,120,120,120,2012,"2,3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Manhattan Project 2: Minutes to Midnight,177659,8,1,0,0,0,0,0,0,0,0,0,3,,,,,,59876934,6.01862,7.39312,3.5769,2183,1456,thing,The Manhattan Project 2: Minutes to Midnight,2,5,150,150,90,2018,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
The Manhattan Project: Chain Reaction,177249,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,37065727,6.01985,6.51599,1.878,2180,3580,thing,The Manhattan Project: Chain Reaction,1,5,40,40,30,2016,"1,2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
The Manhattan Project: Energy Empire,176734,8,3,0,0,0,1,0,0,0,0,0,3,,,,,,39365497,7.22574,7.81383,3.028,208,5770,thing,The Manhattan Project: Energy Empire,1,5,120,120,60,2016,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Mars Needs Mechanics,125854,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,21478177,5.5913,5.92245,1.9375,6898,806,thing,Mars Needs Mechanics,2,4,45,45,45,2013,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Marvel Dice Masters: Avengers vs. X-Men,148575,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,27536557,6.83271,7.20138,2.291,525,9560,thing,Marvel Dice Masters: Avengers vs. X-Men,2,2,60,60,60,2014,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Marvel Dice Masters: Uncanny X-Men,158275,8,4,0,0,0,0,0,0,0,0,0,3,,,,,,26415437,6.75804,7.26678,2.375,617,7776,thing,Marvel Dice Masters: Uncanny X-Men,2,2,60,60,60,2014,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Mascarade,139030,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,20363713,6.45238,6.64231,1.5312,1029,12564,thing,Mascarade,2,13,30,30,30,2013,"4,5,6,7,8,9,10,11,12","6,7,8",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Mechs vs. Minions,209010,7.5,14,0,0,0,0,0,0,0,0,0,3,,,,,,62690356,7.79208,8.10495,2.4247,35,17502,thing,Mechs vs. Minions,2,4,90,90,60,2016,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Medium,242529,0,,0,0,0,0,0,1,0,0,0,3,,,,,,64126165,5.66049,7.36131,1.25,5060,248,thing,Medium,2,8,45,45,30,2019,"3,4,6",4,10,,,,,,,standalone,,,,,,,,,,,,,,,
Meeple Circus,193214,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,56974847,6.63971,7.16362,1.4167,744,4726,thing,Meeple Circus,2,5,45,45,45,2017,"2,3,4,5",4,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Men At Work,261114,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,61356109,6.2363,7.37221,1.1,1487,1550,thing,Men At Work,2,5,45,45,30,2019,"2,3,4,5","3,4",6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Men At Work,261114,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,61356110,6.2363,7.37221,1.1,1487,1550,thing,Men At Work,2,5,45,45,30,2019,"2,3,4,5","3,4",6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Merlin,230933,0,,0,0,0,0,0,0,0,0,0,4,Feld.  Investigate more.  Doesn't get great reviews from what I've seen so far.,,,,,46512089,6.49914,7.11676,3.0921,947,3247,thing,Merlin,2,4,75,75,75,2017,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Metropolys,25568,7,6,0,1,0,0,0,0,0,0,0,3,,,,,,10239791,6.654,7.03411,2.2119,723,3766,thing,Metropolys,2,4,45,45,45,2008,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Miaui,226454,0,,0,0,0,0,0,0,0,0,0,4,Bruno Faidutti.  Keep an eye on.  Learn more about once details are known.,,,,,42274246,5.57238,6.59922,1.2,7731,193,thing,Miaui,3,6,20,20,20,2017,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Mice and Mystics,124708,6,5,0,0,0,0,0,0,0,0,0,3,,,,,,18296570,7.13758,7.35632,2.6722,259,28610,thing,Mice and Mystics,1,4,90,90,60,2012,"1,2,3,4",4,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Micro Mutants: Evolution,31056,0,,0,1,1,0,0,0,0,0,0,3,,,,,,20598277,5.9467,6.62664,1.4268,2503,1464,thing,Micro Mutants: Evolution,2,4,30,30,30,2007,"2,3,4","2,4",5+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
The Mind,244992,7,4,0,0,0,0,0,0,0,0,0,3,,,,,,57787001,6.82161,7.01092,1.0706,538,18844,thing,The Mind,2,4,15,15,15,2018,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Mission: Red Planet,18258,7.5,9,0,1,0,0,0,0,0,0,0,3,,"Combines area control elements of El Grande with role selection element of Citadels in a fun, accessible way.  ",,,,9604717,6.58264,6.93173,2.3177,830,3564,thing,Mission: Red Planet,3,5,60,60,60,2005,"3,4,5","4,5",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,Asmodee,English,2005,English edition
Modern Art,118,7.25,4,0,1,0,0,0,0,0,0,0,1,,,,,,8627026,7.20573,7.37844,2.3145,219,17222,thing,Modern Art,3,5,45,45,45,1992,"3,4,5","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Mombasa,172386,7.5,2,0,1,0,0,0,0,0,0,0,2,requested from family for birthday,,,,,30857067,7.59688,7.9172,3.8984,63,11438,thing,Mombasa,2,4,150,150,75,2015,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,eggertspiele; R&R Games,English,2015,English-only edition
Monastery,33172,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,18584376,5.65543,6.29358,2.8393,5159,518,thing,Monastery,2,4,60,60,60,2008,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Mondo,91523,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,14592809,6.14222,6.53225,1.8047,1756,2799,thing,Mondo,1,4,30,30,20,2011,"1,2,3,4","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Monopoly,1406,2,,0,0,0,0,0,0,0,0,0,3,,,,,,8105519,4.31209,4.36823,1.6651,17853,32000,thing,Monopoly,2,8,180,180,60,1933,"3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Monopoly Deal Card Game,40398,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,36569822,6.06935,6.26131,1.3326,1978,13904,thing,Monopoly Deal Card Game,2,5,15,15,15,2008,"2,3,4,5",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Moongha Invaders Two Player,133862,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,37876919,5.54913,6.6181,1.6667,9267,282,thing,Moongha Invaders Two Player,2,2,60,60,60,2012,,,8+,,,,,,,standalone,,,,,,,,,,,,,,,
Moongha Invaders: Mad Scientists and Atomic Monsters Attack the Earth!,64826,0,,0,1,1,0,0,0,0,0,0,4,Kickstarted,,,,,10162098,5.9233,6.74591,2.6667,2617,1856,thing,Moongha Invaders: Mad Scientists and Atomic Monsters Attack the Earth!,3,4,120,120,90,2015,"3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Treefrog Games,English,2015,English second edition
